lang,source,translation
xas,"dĭ măndə:"" iʔ bĭdeʔ, a to poʔtobə molal"". ","она говорит: ""не пей, а то козлёнком станешь""."
xas,"nu, mĭlat: tănan ine, măna tüžöj. ","ну, (дает?): тебе лошадь, мне корову."
kjh,"а сӱдім кӧнекке парбинча, сығанағымза парча…","а молоко (мое) в ведро не идет, по локтю идет…"
bak,ä... taɣə =la bənda ber meŋ =dä higeð jöð ille higeðense jəlda räxmät awələ altənsə kanton üðäge buləp hanalɣan inde.,"а, еще здесь в 1858 году деревня рахметово считалась центром шестого кантона."
bak,"šul kino, miŋä šul kino oqšanə...","такое кино, мне это кино понравилось..."
mhr,а мый,а я
mhr,"ой, украина пеш страдал.","ой, украина очень страдала."
xas,(uždə- užə- u-) bar sumna pʼe kalla dʼürbi. ,пять лет прошло.
xas,"dĭzeŋ когда šoləʔjə diʔnə jadajlaʔ, dĭzeŋ (ən-) stoldə iləʔi. ","когда придут к человеку в гости, берут стол."
xas,amnobiʔi nagurgoʔ urgaːba i volk i lʼisa. ,жили втроём медведь и волк и лиса.
bak,"nu min uɣa ""tiðeräk... jajəraq barø, häjbäteräk juldan barø"" tip horaɣajnəm.","ну, я его попросила побыстрее... помедленнее ехать, по дороге получше ехать."
kjh,ну мының алнындағы всякий нимелер полған <?> учухчатхан.,"ну, раньше всякие существа были, летали."
bak,"zäjtün aɣasə tip anə äjtälär, isemläjðär inde.","его называют оливковым деревом, называют так."
evn,тар эмча.,это бы сделали.
kjh,"мин пір чыл минде кöр… кöрдім, пір оолғы кöрер пір чыл.","я один год у себя смотрел (за ней), другой сын будет смотреть один год."
kjh,а машиналар чиит кізілер алып алчалар нізе.,а машины молодые люди покупают ведь.
kjh,вот андағ тылаас.,вот такие дела.
kjh,анда хайдаң полӌаң нізе ниме іӌем ноо анда.,откуда родителям там быть тогда.
evn,арчэмкачалдэ̄ мунэ — һая̅лэ: амандӣчал.,встречали нас — но не было: опоздали.
evn,"ачин, ачин.","нет, нет [его]."
kjh,ол времяда мында колхозта хой хадарӌаң полғабыс.,в то время здесь в колхозе овец пасли мы.
mhr,тудын дене вара мылам урген пуэныт ончылшовычым.,из него потом мне сшили передник.
kjh,"чатчам, турчам, чатчам, іди ле.","лежу, стою, лежу, так только."
kjh,"тимір чолда тоғынған аннаңар тартлачаттырлар, я?","из-са того, что на железной дороге работали, везут, да?"
xas,ĭmbi mălləj dak uge jakšə (mo-) mogaʔ. ,"что он скажет, [они] всегда [отвечают]: «будь хорошим.» [?]"
kjh,анаң…,потом…
xas,"""davaj baltu măn mĭnzərlem!"" ","""давай я сварю топор!"""
kjh,"мин чӱгӱрікмең килчем, чтоб автобус, машинаға маңнанарға.","я бегом иду, чтобы к автобусу, к машине успеть."
xas,"dʼijenə kandəgam, dʼije (nüjle-) nüjleʔbəm. ",в лес иду - лес пою.
mhr,[15] летом это было?,[15] летом это было?
kjh,[erk1927f] ну.,[erk1927f] ну.
xas,"i (voron=) vorondə măndə:"" kabažəraʔ!"" ",и ворону говорит: «помоги!»
kjh,"мин пірее сигіс-тоғыс частығ полған полам, наверно.","я, наверно, восьми-девяти лет был."
bak,"apajəm tege бухгалтерский курс bötkän =dä, ul учетчик bula torɣan ine, учетчик.","старшая сестра закончила бухгалтерский курс и была учетчиком, учетчик."
xas,"dĭgəttə ej münöria šindimdə"". ",и не бьёт никого.»
kjh,"а іӌем имені мал ла хадартып, іӌем ха… ахча саны пілбеӌең.","а мама скот только пасла, мама деньги считать не умела."
xas,pʼeštə (š- s-) (sʼabiam). ,на печь залезла.
mhr,[15] но тыгеже вет ужат?,[15] но так-то видишь?
xas,nezeŋ bar (n-) noʔ nĭŋgəbiʔi. ,женщины траву собирали.
xas,i poʔto detləj. ,и коз приведет.
xas,kăde dĭʔnə kereʔ. ,как ей надо (?).
mhr,[2] тудак шогалеш мо?,[2] он же будет?
kjh,"суғ тазып пирче, одың, хысхыда одың тазып пирче.","воды натаскает, дрова, зимой дров натаскает."
bak,"irtänsaq imeðäm =dä, beräj suski menän höt biräŋ =dä səɣəp kitäheŋ.","утром покормлю грудью, немного молока с соской даешь и уходишь."
mhr,"олаште, значит, тунемынат кутырашыже, тыге лектеш?","в городе, значит, [ты] научилась разговаривать, так получается?"
xas,kabarləj. ,все!
mhr,[2] путин шогалмет мӧҥгӧ веле.,[2] после путина только.
mhr,"шӱвырет денак,","[в танец] со свирелью,"
evn,тāдук умукōндӯ дӣскӣ хуручōвун тартикӣ алик стāдолā.,оттуда вместе в лес поехали туда в стадо алика.
mhr,<нрзб> тиде рвезе-шамычым таче лӱдыктена.,этих ребят мы сегодня попугаем.
xas,"dĭgəttə kandəgam, kandəgam, tenebiem aktʼi, dĭ döbər kalləj. ","потом иду, иду, я думала, дорога, она тут пройдёт."
bak,šunan... nisek belergä? - älege прабабушка колдовать itte.,потом... как узнать? - и вот прабабушка стала колдовать.
