id,lang,source,translation
12885,kjh,[emk1967f] хайди с…,[emk1967f] как…
12886,kjh,"[evs1979f] хазах, я?","[evs1979f] русская, да?"
12887,xas,"amnolaʔbə koʔbdo dʼügən, bostə kömə. ","сидит девица в земле, сама красная."
12888,kjh,"анаң піди, ээгіне тайан салып тайағын, тур салтыр, пістің чооғыбыс исче.","потом так, подбородок подперев палкой, встала, наш разговор слушает."
12889,bak,"madjar xaləqə ošo qoroltajðä üðeneŋ... beððäge habantujðaɣə həmaq, ujəndarən kürhättelär.","народ мадьяры на этом королтае свои, как на сабантуе, который у нас, показывали игры."
12890,xas,"dĭgəttə šo oʔbdəbiʔi, iʔgö deʔpiʔi. ","потом они собрали бересту, много принесли."
12891,kjh,"[avd1959f] м-м, спасибо!",[avd1959f]
12892,mhr,мемнан,у нас
12893,kjh,"андағ чи, андағ полча кирек.","так-то, так дела идут."
12894,kjh,"[evs1979f] автобус чӧрбинче, я?","[evs1979f] автобус не ходит, да?"
12895,mhr,"вара вургыжым эше мом ыштена ыле,","потом стебли ещё что делали,"
12896,kjh,“ол чох кізілерді хыырыңар” тіптір.,“этих бедняков позовите” сказал.
12897,xas,dĭgəttə bazoʔ dĭ koŋ abi. ,потом царь опять [так] сделал.
12898,kjh,"анда, ол туста, видимо, ханның килген чиновниктер парох полған охс <?>.","там, в то время, видимо, чиновники, приехавшие от царя, также были."
12899,bak,nu uqənəq.,ну выучились.
12900,kjh,вот іди чуртаабыс.,вот так мы жили.
12901,evn,"энинңэhэйи би аят дончадям.
				",мать свою покойную я хорошо помню.
12902,xas,"(dĭ=) dĭ bĭdəbi, bĭdəbi, dĭgəttə dĭ üžüttə saʔməluʔpi, dĭgəttə dĭ (ej= ej=) kambi. ","потом она гналась-гналась, потом та с шапки упала, и она не пошла."
12903,mhr,"[2] поделись, поделись.","[2] поделись, поделись."
12904,mhr,[15] но вара школым пытарымекет олашке медучилищышке тунемашет пуренат?,[15] но потом после школы [ты] в город в медучилище поступила?
12905,evn,так аркича̄тын эхавэв тар.,так они проткнули тот мой глаз.
12906,kjh,ам «ӱстӱн ас» тіпчем пазох.,теперь «верх открой» говорю снова.
12907,evn,этэрэв эрэгэрит эдук исевулдэ».,с этих пор никогда не станем показываться на глаза [=не будем видимыми]».
12908,kjh,"син аны таныпча молазың, я?","ты его знаешь, наверно, да?"
12909,kjh,"вот іди тудыс парчалар оғырлар, о-о, беда.","вот так дерутся воры, о-о, беда."
12910,xas,(li-) lisa šolaʔbə. ,лиса идет.
12911,mhr,"дрожжи,","дрожжи,"
12912,mhr,"оксам налын, изишак сайын ыштышаш, мыйым шышт колто.","нет, чтобы получать деньги и хорошо поработать, меня не отпустили."
12913,bak,ещё nimähen äjtergä käräk? nej.,еще что сказать надо? это...
12914,kjh,"[smm1950f] тайғада, наңмырлардаң <?> наңмырлар че чаапча.","[smm1950f] в тайге, долго дожди идут."
12915,evn,хутэлин ода.,у него появились дети.
12916,kjh,"позымның чарым литрезін, олар ағыл килгеннер, чарым ізібіскем.","мои пол-литра, и они принесли, пол-литра выпила я."
12917,mhr,"[8] но, пучымыш гайрак лиеш.","[8] да, как каша."
12918,xas,"(nʼiʔnen) abalakovan, esseŋdə možna kuzittə. ","на улице(?), в абалаково, можно найти детей."
12919,evn,би чок... чокча̄в — баh нуӈанман.,я прицелился — бах его
12920,xas,"dʼijenə teinen kallam, (in -) ineziʔ. ",сегодня я поеду на лошади в тайгу.
12921,kjh,"кӧмес тоғынып алған тамахты, ун…","немного заработанное зерно, муку…"
12922,kjh,меең абам аңнаӌаң кізі полған.,мой отец охотником был.
12923,xas,dĭgəttə onʼiʔ nüke šobi: ,потом пришла одна женщина:
12924,kjh,міне олар ирепчі кізілер палаларынмаң.,вот они супруги с детьми.
12925,mhr,"отец-то, мать, все умерли, а дети-то, слава богу, все живы.","отец-то, мать, все умерли, а дети-то, слава богу, все живы."
12926,bak,"šunda halalar =ða balanə totop aləp, qolaɣəna, täwlä, qörʔän uqəjðar.","туда, кладут ребенка, берут, и сначала читают ему на ухо коран."
12927,xas,esseŋdə bar kulambiʔi. ,ее дети умерли.
12928,mhr,"коштымымат, эше коштен улына да,","и сушёную, сушили, да,"
12929,xas,pi deʔpi onʼiʔ pʼešdə. ,принес камень для печи.
12930,bak,"məna šulaj itep beðgä jəjələp, ilašəp šulaj itä torɣajnəlar.","ну вот так вот, к нам собирались и вместе вот так вот плакали."
12931,bak,"susqa fermahə =la buldə, sittä, kül bujənda.","была же свиноферма, на окраине, около озера."
12932,kjh,и кутайдың туңмазы настаңны алған.,и братишка кутая настан взял (в жены).
12933,kjh,"а-а пасхазы тамах оғырлаан, чуртааннар.","а другие зерно воровали, жили."
12934,xas,"dĭgəttə măndə:"" kundə măn koʔbdom, dĭn amnoldə"". ","потом [женщина] говорит: «возьми мою дочь, оставь её там»."
12935,xas,i tojirlaʔ iluʔpi. ,и украл её.
12936,xas,"dĭgəttə amnobi, amnobi, măndə:"" măn kalam (abats-) abanə"". ","потом она жила, жила, [и] говорит: ""я пойду к отцу""."
12937,kjh,"[smm1950f] ну ам тартарохтар, наверное.","[smm1950f] сейчас тоже будут везти, наверное."
12938,xas,dĭn abəs (dĭzem) kudaj numan üzəbi. ,там священник за(?) них молился.
12939,bak,"beððä jegettär, šul kejäw jegeteneŋ säjen eser aldənan...","у нас парни, перед тем как выпить вот чай жениха..."
